CustomerID,CustomerName,Email,Phone,LoyaltyPoints,SignupDate
89,Customer 89,customer89@example.com,+1-555-9181,808,2022-03-30
90,Customer 90,customer90@example.com,+1-555-1378,824,2022-03-31
91,Customer 91,customer91@example.com,+1-555-4829,692,2022-04-01
92,Customer 92,customer92@example.com,+1-555-7380,492,2022-04-02
93,Customer 93,customer93@example.com,+1-555-1615,267,2022-04-03
94,Customer 94,customer94@example.com,+1-555-3330,524,2022-04-04
95,Customer 95,customer95@example.com,+1-555-2754,119,2022-04-05
96,Customer 96,customer96@example.com,+1-555-1463,969,2022-04-06
97,Customer 97,customer97@example.com,+1-555-5267,352,2022-04-07
98,Customer 98,customer98@example.com,+1-555-4158,56,2022-04-08
99,Customer 99,customer99@example.com,+1-555-4624,39,2022-04-09
100,Customer 100,customer100@example.com,+1-555-5938,885,2022-04-10
101,Customer 101,customer101@example.com,+1-555-6417,335,2022-04-11
102,Customer 102,customer102@example.com,+1-555-7004,639,2022-04-12
103,Customer 103,customer103@example.com,+1-555-9881,172,2022-04-13
104,Customer 104,customer104@example.com,+1-555-6603,546,2022-04-14
105,Customer 105,customer105@example.com,+1-555-3212,258,2022-04-15
106,Customer 106,customer106@example.com,+1-555-7120,887,2022-04-16
107,Customer 107,customer107@example.com,+1-555-6818,516,2022-04-17
108,Customer 108,customer108@example.com,+1-555-1382,729,2022-04-18
109,Customer 109,customer109@example.com,+1-555-3256,522,2022-04-19
110,Customer 110,customer110@example.com,+1-555-2412,893,2022-04-20
111,Customer 111,customer111@example.com,+1-555-7146,838,2022-04-21
112,Customer 112,customer112@example.com,+1-555-1371,116,2022-04-22
113,Customer 113,customer113@example.com,+1-555-6806,183,2022-04-23
114,Customer 114,customer114@example.com,+1-555-6565,905,2022-04-24
115,Customer 115,customer115@example.com,+1-555-9802,873,2022-04-25
116,Customer 116,customer116@example.com,+1-555-9307,115,2022-04-26
117,Customer 117,customer117@example.com,+1-555-8437,161,2022-04-27
118,Customer 118,customer118@example.com,+1-555-1446,578,2022-04-28
119,Customer 119,customer119@example.com,+1-555-2391,711,2022-04-29
120,Customer 120,customer120@example.com,+1-555-2340,542,2022-04-30
121,Customer 121,customer121@example.com,+1-555-3939,586,2022-05-01
122,Customer 122,customer122@example.com,+1-555-6969,236,2022-05-02
123,Customer 123,customer123@example.com,+1-555-5813,838,2022-05-03
124,Customer 124,customer124@example.com,+1-555-4569,65,2022-05-04
125,Customer 125,customer125@example.com,+1-555-6454,69,2022-05-05
126,Customer 126,customer126@example.com,+1-555-4150,808,2022-05-06
127,Customer 127,customer127@example.com,+1-555-7414,446,2022-05-07
128,Customer 128,customer128@example.com,+1-555-5657,415,2022-05-08
129,Customer 129,customer129@example.com,+1-555-7947,531,2022-05-09
130,Customer 130,customer130@example.com,+1-555-8943,440,2022-05-10
131,Customer 131,customer131@example.com,+1-555-4662,737,2022-05-11
132,Customer 132,customer132@example.com,+1-555-5482,945,2022-05-12
133,Customer 133,customer133@example.com,+1-555-5797,463,2022-05-13
134,Customer 134,customer134@example.com,+1-555-6068,920,2022-05-14
135,Customer 135,customer135@example.com,+1-555-6480,395,2022-05-15
136,Customer 136,customer136@example.com,+1-555-9033,710,2022-05-16
137,Customer 137,customer137@example.com,+1-555-1983,550,2022-05-17
138,Customer 138,customer138@example.com,+1-555-6607,656,2022-05-18
139,Customer 139,customer139@example.com,+1-555-9543,556,2022-05-19
140,Customer 140,customer140@example.com,+1-555-2907,394,2022-05-20
141,Customer 141,customer141@example.com,+1-555-7924,325,2022-05-21
142,Customer 142,customer142@example.com,+1-555-9737,892,2022-05-22
143,Customer 143,customer143@example.com,+1-555-5174,918,2022-05-23
144,Customer 144,customer144@example.com,+1-555-8265,90,2022-05-24
145,Customer 145,customer145@example.com,+1-555-2990,749,2022-05-25
146,Customer 146,customer146@example.com,+1-555-6596,69,2022-05-26
147,Customer 147,customer147@example.com,+1-555-4998,165,2022-05-27
148,Customer 148,customer148@example.com,+1-555-4775,641,2022-05-28
149,Customer 149,customer149@example.com,+1-555-5645,213,2022-05-29
150,Customer 150,customer150@example.com,+1-555-3061,851,2022-05-30
151,Customer 151,customer151@example.com,+1-555-5487,600,2022-05-31
152,Customer 152,customer152@example.com,+1-555-5435,334,2022-06-01
153,Customer 153,customer153@example.com,+1-555-3644,763,2022-06-02
154,Customer 154,customer154@example.com,+1-555-2045,368,2022-06-03
155,Customer 155,customer155@example.com,+1-555-8951,860,2022-06-04
156,Customer 156,customer156@example.com,+1-555-7449,583,2022-06-05
157,Customer 157,customer157@example.com,+1-555-3681,676,2022-06-06
158,Customer 158,customer158@example.com,+1-555-4199,48,2022-06-07
159,Customer 159,customer159@example.com,+1-555-7768,51,2022-06-08
160,Customer 160,customer160@example.com,+1-555-8440,288,2022-06-09
161,Customer 161,customer161@example.com,+1-555-9633,789,2022-06-10
162,Customer 162,customer162@example.com,+1-555-3550,625,2022-06-11
163,Customer 163,customer163@example.com,+1-555-5225,238,2022-06-12
164,Customer 164,customer164@example.com,+1-555-1596,132,2022-06-13
165,Customer 165,customer165@example.com,+1-555-7054,998,2022-06-14
166,Customer 166,customer166@example.com,+1-555-2505,785,2022-06-15
167,Customer 167,customer167@example.com,+1-555-7468,165,2022-06-16
168,Customer 168,customer168@example.com,+1-555-8236,373,2022-06-17
169,Customer 169,customer169@example.com,+1-555-2551,372,2022-06-18
170,Customer 170,customer170@example.com,+1-555-7852,804,2022-06-19
171,Customer 171,customer171@example.com,+1-555-2449,477,2022-06-20
172,Customer 172,customer172@example.com,+1-555-6953,754,2022-06-21
173,Customer 173,customer173@example.com,+1-555-9456,478,2022-06-22
174,Customer 174,customer174@example.com,+1-555-9042,831,2022-06-23
175,Customer 175,customer175@example.com,+1-555-3659,649,2022-06-24
176,Customer 176,customer176@example.com,+1-555-8509,590,2022-06-25
177,Customer 177,customer177@example.com,+1-555-8893,681,2022-06-26
178,Customer 178,customer178@example.com,+1-555-8445,634,2022-06-27
179,Customer 179,customer179@example.com,+1-555-3721,687,2022-06-28
180,Customer 180,customer180@example.com,+1-555-3925,299,2022-06-29
181,Customer 181,customer181@example.com,+1-555-8104,81,2022-06-30
182,Customer 182,customer182@example.com,+1-555-7240,86,2022-07-01
183,Customer 183,customer183@example.com,+1-555-1512,224,2022-07-02
184,Customer 184,customer184@example.com,+1-555-1215,15,2022-07-03
185,Customer 185,customer185@example.com,+1-555-8299,821,2022-07-04
186,Customer 186,customer186@example.com,+1-555-4153,357,2022-07-05
187,Customer 187,customer187@example.com,+1-555-8450,162,2022-07-06
188,Customer 188,customer188@example.com,+1-555-2706,609,2022-07-07
189,Customer 189,customer189@example.com,+1-555-2567,667,2022-07-08
190,Customer 190,customer190@example.com,+1-555-2128,513,2022-07-09
191,Customer 191,customer191@example.com,+1-555-4510,349,2022-07-10
192,Customer 192,customer192@example.com,+1-555-8867,908,2022-07-11
193,Customer 193,customer193@example.com,+1-555-3365,680,2022-07-12
194,Customer 194,customer194@example.com,+1-555-6583,463,2022-07-13
195,Customer 195,customer195@example.com,+1-555-5897,826,2022-07-14
196,Customer 196,customer196@example.com,+1-555-6718,836,2022-07-15
197,Customer 197,customer197@example.com,+1-555-7001,374,2022-07-16
198,Customer 198,customer198@example.com,+1-555-5567,91,2022-07-17
199,Customer 199,customer199@example.com,+1-555-3741,180,2022-07-18
200,Customer 200,customer200@example.com,+1-555-4020,742,2022-07-19
201,Customer 201,customer201@example.com,+1-555-7256,300,2022-07-20
202,Customer 202,customer202@example.com,+1-555-1228,659,2022-07-21
203,Customer 203,customer203@example.com,+1-555-9362,791,2022-07-22
204,Customer 204,customer204@example.com,+1-555-1294,188,2022-07-23
205,Customer 205,customer205@example.com,+1-555-5284,858,2022-07-24
206,Customer 206,customer206@example.com,+1-555-9617,861,2022-07-25
207,Customer 207,customer207@example.com,+1-555-7801,313,2022-07-26
208,Customer 208,customer208@example.com,+1-555-1918,492,2022-07-27
209,Customer 209,customer209@example.com,+1-555-1498,922,2022-07-28
210,Customer 210,customer210@example.com,+1-555-3809,921,2022-07-29
211,Customer 211,customer211@example.com,+1-555-5961,127,2022-07-30
212,Customer 212,customer212@example.com,+1-555-4779,518,2022-07-31
213,Customer 213,customer213@example.com,+1-555-3118,425,2022-08-01
214,Customer 214,customer214@example.com,+1-555-7391,558,2022-08-02
215,Customer 215,customer215@example.com,+1-555-1145,564,2022-08-03
216,Customer 216,customer216@example.com,+1-555-8942,186,2022-08-04
217,Customer 217,customer217@example.com,+1-555-5565,549,2022-08-05
218,Customer 218,customer218@example.com,+1-555-1192,452,2022-08-06
219,Customer 219,customer219@example.com,+1-555-6187,470,2022-08-07
220,Customer 220,customer220@example.com,+1-555-7637,987,2022-08-08
221,Customer 221,customer221@example.com,+1-555-9243,737,2022-08-09
222,Customer 222,customer222@example.com,+1-555-3410,564,2022-08-10
223,Customer 223,customer223@example.com,+1-555-2820,910,2022-08-11
224,Customer 224,customer224@example.com,+1-555-3964,223,2022-08-12
225,Customer 225,customer225@example.com,+1-555-3521,153,2022-08-13
226,Customer 226,customer226@example.com,+1-555-3568,559,2022-08-14
227,Customer 227,customer227@example.com,+1-555-6882,350,2022-08-15
228,Customer 228,customer228@example.com,+1-555-2867,146,2022-08-16
229,Customer 229,customer229@example.com,+1-555-8465,904,2022-08-17
230,Customer 230,customer230@example.com,+1-555-8602,575,2022-08-18
231,Customer 231,customer231@example.com,+1-555-4199,348,2022-08-19
232,Customer 232,customer232@example.com,+1-555-7103,181,2022-08-20
233,Customer 233,customer233@example.com,+1-555-1240,636,2022-08-21
234,Customer 234,customer234@example.com,+1-555-4440,178,2022-08-22
235,Customer 235,customer235@example.com,+1-555-5631,38,2022-08-23
236,Customer 236,customer236@example.com,+1-555-9274,771,2022-08-24
237,Customer 237,customer237@example.com,+1-555-6077,893,2022-08-25
238,Customer 238,customer238@example.com,+1-555-4768,2,2022-08-26
239,Customer 239,customer239@example.com,+1-555-8995,63,2022-08-27
240,Customer 240,customer240@example.com,+1-555-9802,28,2022-08-28
241,Customer 241,customer241@example.com,+1-555-7429,371,2022-08-29
242,Customer 242,customer242@example.com,+1-555-4605,522,2022-08-30
243,Customer 243,customer243@example.com,+1-555-3173,96,2022-08-31
244,Customer 244,customer244@example.com,+1-555-7568,869,2022-09-01
245,Customer 245,customer245@example.com,+1-555-3601,441,2022-09-02
246,Customer 246,customer246@example.com,+1-555-3657,202,2022-09-03
247,Customer 247,customer247@example.com,+1-555-7080,410,2022-09-04
248,Customer 248,customer248@example.com,+1-555-8325,992,2022-09-05
249,Customer 249,customer249@example.com,+1-555-3159,20,2022-09-06
250,Customer 250,customer250@example.com,+1-555-4830,550,2022-09-07
251,Customer 251,customer251@example.com,+1-555-9313,734,2022-09-08
252,Customer 252,customer252@example.com,+1-555-5368,101,2022-09-09
253,Customer 253,customer253@example.com,+1-555-2317,45,2022-09-10
254,Customer 254,customer254@example.com,+1-555-5493,65,2022-09-11
255,Customer 255,customer255@example.com,+1-555-2230,602,2022-09-12
256,Customer 256,customer256@example.com,+1-555-2133,163,2022-09-13
257,Customer 257,customer257@example.com,+1-555-8607,970,2022-09-14
258,Customer 258,customer258@example.com,+1-555-2301,110,2022-09-15
259,Customer 259,customer259@example.com,+1-555-2910,337,2022-09-16
260,Customer 260,customer260@example.com,+1-555-9082,122,2022-09-17
261,Customer 261,customer261@example.com,+1-555-9107,704,2022-09-18
262,Customer 262,customer262@example.com,+1-555-8970,446,2022-09-19
263,Customer 263,customer263@example.com,+1-555-2916,610,2022-09-20
264,Customer 264,customer264@example.com,+1-555-7996,290,2022-09-21
265,Customer 265,customer265@example.com,+1-555-3757,670,2022-09-22
266,Customer 266,customer266@example.com,+1-555-7464,411,2022-09-23
267,Customer 267,customer267@example.com,+1-555-1178,614,2022-09-24
268,Customer 268,customer268@example.com,+1-555-7362,896,2022-09-25
269,Customer 269,customer269@example.com,+1-555-9683,280,2022-09-26
270,Customer 270,customer270@example.com,+1-555-1060,42,2022-09-27
271,Customer 271,customer271@example.com,+1-555-7681,485,2022-09-28
272,Customer 272,customer272@example.com,+1-555-3895,595,2022-09-29
273,Customer 273,customer273@example.com,+1-555-1585,962,2022-09-30
274,Customer 274,customer274@example.com,+1-555-6823,702,2022-10-01
275,Customer 275,customer275@example.com,+1-555-1534,50,2022-10-02
276,Customer 276,customer276@example.com,+1-555-4462,897,2022-10-03
277,Customer 277,customer277@example.com,+1-555-5011,209,2022-10-04
278,Customer 278,customer278@example.com,+1-555-4398,125,2022-10-05
279,Customer 279,customer279@example.com,+1-555-3155,491,2022-10-06
280,Customer 280,customer280@example.com,+1-555-6966,508,2022-10-07
281,Customer 281,customer281@example.com,+1-555-8329,959,2022-10-08
282,Customer 282,customer282@example.com,+1-555-7957,969,2022-10-09
283,Customer 283,customer283@example.com,+1-555-6325,580,2022-10-10
284,Customer 284,customer284@example.com,+1-555-9518,776,2022-10-11
285,Customer 285,customer285@example.com,+1-555-5703,257,2022-10-12
286,Customer 286,customer286@example.com,+1-555-3706,929,2022-10-13
287,Customer 287,customer287@example.com,+1-555-1001,187,2022-10-14
288,Customer 288,customer288@example.com,+1-555-9316,229,2022-10-15
289,Customer 289,customer289@example.com,+1-555-2104,188,2022-10-16
290,Customer 290,customer290@example.com,+1-555-2861,414,2022-10-17
291,Customer 291,customer291@example.com,+1-555-6269,9,2022-10-18
292,Customer 292,customer292@example.com,+1-555-7943,113,2022-10-19
293,Customer 293,customer293@example.com,+1-555-9320,75,2022-10-20
294,Customer 294,customer294@example.com,+1-555-1437,675,2022-10-21
295,Customer 295,customer295@example.com,+1-555-5846,501,2022-10-22
296,Customer 296,customer296@example.com,+1-555-4129,84,2022-10-23
297,Customer 297,customer297@example.com,+1-555-9081,48,2022-10-24
298,Customer 298,customer298@example.com,+1-555-1901,494,2022-10-25
299,Customer 299,customer299@example.com,+1-555-6398,837,2022-10-26
300,Customer 300,customer300@example.com,+1-555-7678,688,2022-10-27
301,Customer 301,customer301@example.com,+1-555-6529,386,2022-10-28
302,Customer 302,customer302@example.com,+1-555-7604,969,2022-10-29
303,Customer 303,customer303@example.com,+1-555-4918,388,2022-10-30
304,Customer 304,customer304@example.com,+1-555-2067,217,2022-10-31
305,Customer 305,customer305@example.com,+1-555-1026,700,2022-11-01
306,Customer 306,customer306@example.com,+1-555-7937,980,2022-11-02
307,Customer 307,customer307@example.com,+1-555-8264,345,2022-11-03
308,Customer 308,customer308@example.com,+1-555-8118,229,2022-11-04
309,Customer 309,customer309@example.com,+1-555-1547,254,2022-11-05
310,Customer 310,customer310@example.com,+1-555-9758,235,2022-11-06
311,Customer 311,customer311@example.com,+1-555-9895,25,2022-11-07
312,Customer 312,customer312@example.com,+1-555-6338,583,2022-11-08
313,Customer 313,customer313@example.com,+1-555-4140,260,2022-11-09
314,Customer 314,customer314@example.com,+1-555-8996,765,2022-11-10
315,Customer 315,customer315@example.com,+1-555-2590,270,2022-11-11
316,Customer 316,customer316@example.com,+1-555-8776,122,2022-11-12
317,Customer 317,customer317@example.com,+1-555-5943,655,2022-11-13
318,Customer 318,customer318@example.com,+1-555-9997,256,2022-11-14
319,Customer 319,customer319@example.com,+1-555-8798,655,2022-11-15
320,Customer 320,customer320@example.com,+1-555-4791,420,2022-11-16
321,Customer 321,customer321@example.com,+1-555-2357,258,2022-11-17
322,Customer 322,customer322@example.com,+1-555-9092,947,2022-11-18
323,Customer 323,customer323@example.com,+1-555-4225,46,2022-11-19
324,Customer 324,customer324@example.com,+1-555-3460,862,2022-11-20
325,Customer 325,customer325@example.com,+1-555-9737,524,2022-11-21
326,Customer 326,customer326@example.com,+1-555-3728,887,2022-11-22
327,Customer 327,customer327@example.com,+1-555-7726,207,2022-11-23
328,Customer 328,customer328@example.com,+1-555-8481,310,2022-11-24
329,Customer 329,customer329@example.com,+1-555-7430,746,2022-11-25
330,Customer 330,customer330@example.com,+1-555-4114,148,2022-11-26
331,Customer 331,customer331@example.com,+1-555-1616,833,2022-11-27
332,Customer 332,customer332@example.com,+1-555-4644,437,2022-11-28
333,Customer 333,customer333@example.com,+1-555-7413,154,2022-11-29
334,Customer 334,customer334@example.com,+1-555-2203,677,2022-11-30
335,Customer 335,customer335@example.com,+1-555-3565,89,2022-12-01
336,Customer 336,customer336@example.com,+1-555-4174,697,2022-12-02
337,Customer 337,customer337@example.com,+1-555-4081,829,2022-12-03
338,Customer 338,customer338@example.com,+1-555-3630,357,2022-12-04
339,Customer 339,customer339@example.com,+1-555-4161,173,2022-12-05
340,Customer 340,customer340@example.com,+1-555-5321,216,2022-12-06
341,Customer 341,customer341@example.com,+1-555-9861,906,2022-12-07
342,Customer 342,customer342@example.com,+1-555-7269,455,2022-12-08
343,Customer 343,customer343@example.com,+1-555-8099,775,2022-12-09
344,Customer 344,customer344@example.com,+1-555-8376,608,2022-12-10
345,Customer 345,customer345@example.com,+1-555-5078,628,2022-12-11
346,Customer 346,customer346@example.com,+1-555-6801,198,2022-12-12
347,Customer 347,customer347@example.com,+1-555-5151,831,2022-12-13
348,Customer 348,customer348@example.com,+1-555-9911,485,2022-12-14
349,Customer 349,customer349@example.com,+1-555-3600,532,2022-12-15
350,Customer 350,customer350@example.com,+1-555-7175,199,2022-12-16
351,Customer 351,customer351@example.com,+1-555-1666,370,2022-12-17
352,Customer 352,customer352@example.com,+1-555-1283,958,2022-12-18
353,Customer 353,customer353@example.com,+1-555-6840,852,2022-12-19
354,Customer 354,customer354@example.com,+1-555-4565,447,2022-12-20
355,Customer 355,customer355@example.com,+1-555-5593,247,2022-12-21
356,Customer 356,customer356@example.com,+1-555-2465,787,2022-12-22
357,Customer 357,customer357@example.com,+1-555-9321,263,2022-12-23
358,Customer 358,customer358@example.com,+1-555-5734,57,2022-12-24
359,Customer 359,customer359@example.com,+1-555-7257,301,2022-12-25
360,Customer 360,customer360@example.com,+1-555-8366,30,2022-12-26
361,Customer 361,customer361@example.com,+1-555-4672,497,2022-12-27
362,Customer 362,customer362@example.com,+1-555-8382,248,2022-12-28
363,Customer 363,customer363@example.com,+1-555-7587,604,2022-12-29
364,Customer 364,customer364@example.com,+1-555-1992,776,2022-12-30
365,Customer 365,customer365@example.com,+1-555-7858,270,2022-12-31
366,Customer 366,customer366@example.com,+1-555-3121,605,2023-01-01
367,Customer 367,customer367@example.com,+1-555-3223,665,2023-01-02
368,Customer 368,customer368@example.com,+1-555-5522,393,2023-01-03
369,Customer 369,customer369@example.com,+1-555-4188,796,2023-01-04
370,Customer 370,customer370@example.com,+1-555-4237,501,2023-01-05
371,Customer 371,customer371@example.com,+1-555-5136,591,2023-01-06
372,Customer 372,customer372@example.com,+1-555-1343,803,2023-01-07
373,Customer 373,customer373@example.com,+1-555-5704,83,2023-01-08
374,Customer 374,customer374@example.com,+1-555-5823,364,2023-01-09
375,Customer 375,customer375@example.com,+1-555-5920,885,2023-01-10
376,Customer 376,customer376@example.com,+1-555-4201,548,2023-01-11
377,Customer 377,customer377@example.com,+1-555-6471,341,2023-01-12
378,Customer 378,customer378@example.com,+1-555-1888,838,2023-01-13
379,Customer 379,customer379@example.com,+1-555-8127,406,2023-01-14
380,Customer 380,customer380@example.com,+1-555-4720,424,2023-01-15
381,Customer 381,customer381@example.com,+1-555-3883,743,2023-01-16
382,Customer 382,customer382@example.com,+1-555-5212,92,2023-01-17
383,Customer 383,customer383@example.com,+1-555-7961,847,2023-01-18
384,Customer 384,customer384@example.com,+1-555-3415,613,2023-01-19
385,Customer 385,customer385@example.com,+1-555-4001,411,2023-01-20
386,Customer 386,customer386@example.com,+1-555-2738,431,2023-01-21
387,Customer 387,customer387@example.com,+1-555-2364,677,2023-01-22
388,Customer 388,customer388@example.com,+1-555-3708,158,2023-01-23
389,Customer 389,customer389@example.com,+1-555-1924,13,2023-01-24
390,Customer 390,customer390@example.com,+1-555-1151,372,2023-01-25
391,Customer 391,customer391@example.com,+1-555-9777,224,2023-01-26
392,Customer 392,customer392@example.com,+1-555-9044,504,2023-01-27
393,Customer 393,customer393@example.com,+1-555-1912,72,2023-01-28
394,Customer 394,customer394@example.com,+1-555-3321,248,2023-01-29
395,Customer 395,customer395@example.com,+1-555-1495,510,2023-01-30
396,Customer 396,customer396@example.com,+1-555-3148,602,2023-01-31
397,Customer 397,customer397@example.com,+1-555-1556,215,2023-02-01
398,Customer 398,customer398@example.com,+1-555-2552,972,2023-02-02
399,Customer 399,customer399@example.com,+1-555-3120,601,2023-02-03
400,Customer 400,customer400@example.com,+1-555-4085,540,2023-02-04
401,Customer 401,customer401@example.com,+1-555-4504,946,2023-02-05
402,Customer 402,customer402@example.com,+1-555-1156,816,2023-02-06
403,Customer 403,customer403@example.com,+1-555-9926,938,2023-02-07
404,Customer 404,customer404@example.com,+1-555-8505,987,2023-02-08
405,Customer 405,customer405@example.com,+1-555-8162,219,2023-02-09
406,Customer 406,customer406@example.com,+1-555-6523,839,2023-02-10
407,Customer 407,customer407@example.com,+1-555-8543,726,2023-02-11
408,Customer 408,customer408@example.com,+1-555-9055,220,2023-02-12
409,Customer 409,customer409@example.com,+1-555-5654,388,2023-02-13
410,Customer 410,customer410@example.com,+1-555-7250,553,2023-02-14
411,Customer 411,customer411@example.com,+1-555-8246,646,2023-02-15
412,Customer 412,customer412@example.com,+1-555-1154,41,2023-02-16
413,Customer 413,customer413@example.com,+1-555-8950,675,2023-02-17
414,Customer 414,customer414@example.com,+1-555-1996,872,2023-02-18
415,Customer 415,customer415@example.com,+1-555-5626,282,2023-02-19
416,Customer 416,customer416@example.com,+1-555-3905,57,2023-02-20
417,Customer 417,customer417@example.com,+1-555-1153,813,2023-02-21
418,Customer 418,customer418@example.com,+1-555-8853,833,2023-02-22
419,Customer 419,customer419@example.com,+1-555-7481,536,2023-02-23
420,Customer 420,customer420@example.com,+1-555-6599,72,2023-02-24
421,Customer 421,customer421@example.com,+1-555-2716,884,2023-02-25
422,Customer 422,customer422@example.com,+1-555-1786,922,2023-02-26
